"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","CPI","TOT","AGRWTH","M","2022-04",2.1,
"CHN","CPI","TOT","AGRWTH","M","2022-05",2.1,
"CHN","CPI","TOT","AGRWTH","M","2022-06",2.5,
"CHN","CPI","TOT","AGRWTH","M","2022-07",2.7,
"CHN","CPI","TOT","AGRWTH","M","2022-08",2.5,
"CHN","CPI","TOT","AGRWTH","M","2022-09",2.8,
"CHN","CPI","TOT","AGRWTH","M","2022-10",2.1,
"OECD","CPI","TOT","AGRWTH","M","2018-05",2.61234,
"OECD","CPI","TOT","AGRWTH","M","2018-06",2.790011,
"OECD","CPI","TOT","AGRWTH","M","2018-07",2.888301,
"OECD","CPI","TOT","AGRWTH","M","2018-08",2.897109,
"OECD","CPI","TOT","AGRWTH","M","2018-09",2.913541,
"OECD","CPI","TOT","AGRWTH","M","2018-10",3.109925,
"OECD","CPI","TOT","AGRWTH","M","2018-11",2.706601,
"OECD","CPI","TOT","AGRWTH","M","2018-12",2.391601,
"OECD","CPI","TOT","AGRWTH","M","2019-01",2.112052,
"OECD","CPI","TOT","AGRWTH","M","2019-02",2.09292,
"OECD","CPI","TOT","AGRWTH","M","2019-03",2.282107,
"OECD","CPI","TOT","AGRWTH","M","2019-04",2.48604,
"OECD","CPI","TOT","AGRWTH","M","2019-05",2.265867,
"OECD","CPI","TOT","AGRWTH","M","2019-06",2.083106,
"OECD","CPI","TOT","AGRWTH","M","2019-07",2.158536,
"OECD","CPI","TOT","AGRWTH","M","2019-08",1.96271,
"OECD","CPI","TOT","AGRWTH","M","2019-09",1.679322,
"OECD","CPI","TOT","AGRWTH","M","2019-10",1.65036,
"OECD","CPI","TOT","AGRWTH","M","2019-11",1.896638,
"OECD","CPI","TOT","AGRWTH","M","2019-12",2.168472,
"OECD","CPI","TOT","AGRWTH","M","2020-01",2.381704,
"OECD","CPI","TOT","AGRWTH","M","2020-02",2.276807,
"OECD","CPI","TOT","AGRWTH","M","2020-03",1.752051,
"OECD","CPI","TOT","AGRWTH","M","2020-04",0.8570797,
"OECD","CPI","TOT","AGRWTH","M","2020-05",0.7093785,
"OECD","CPI","TOT","AGRWTH","M","2020-06",1.087856,
"OECD","CPI","TOT","AGRWTH","M","2020-07",1.204332,
"OECD","CPI","TOT","AGRWTH","M","2020-08",1.283622,
"OECD","CPI","TOT","AGRWTH","M","2020-09",1.303895,
"OECD","CPI","TOT","AGRWTH","M","2020-10",1.18273,
"OECD","CPI","TOT","AGRWTH","M","2020-11",1.173448,
"OECD","CPI","TOT","AGRWTH","M","2020-12",1.24345,
"OECD","CPI","TOT","AGRWTH","M","2021-01",1.556987,
"OECD","CPI","TOT","AGRWTH","M","2021-02",1.74641,
"OECD","CPI","TOT","AGRWTH","M","2021-03",2.394411,
"OECD","CPI","TOT","AGRWTH","M","2021-04",3.33633,
"OECD","CPI","TOT","AGRWTH","M","2021-05",3.853681,
"OECD","CPI","TOT","AGRWTH","M","2021-06",4.044534,
"OECD","CPI","TOT","AGRWTH","M","2021-07",4.234477,
"OECD","CPI","TOT","AGRWTH","M","2021-08",4.352569,
"OECD","CPI","TOT","AGRWTH","M","2021-09",4.597402,
"OECD","CPI","TOT","AGRWTH","M","2021-10",5.235765,
"OECD","CPI","TOT","AGRWTH","M","2021-11",5.865799,
"OECD","CPI","TOT","AGRWTH","M","2021-12",6.558284,
"OECD","CPI","TOT","AGRWTH","M","2022-01",7.182801,
"OECD","CPI","TOT","AGRWTH","M","2022-02",7.760307,
"OECD","CPI","TOT","AGRWTH","M","2022-03",8.771916,
"OECD","CPI","TOT","AGRWTH","M","2022-04",9.189667,
"OECD","CPI","TOT","AGRWTH","M","2022-05",9.659646,
"OECD","CPI","TOT","AGRWTH","M","2022-06",10.26947,
"OECD","CPI","TOT","AGRWTH","M","2022-07",10.24096,
"OECD","CPI","TOT","AGRWTH","M","2022-08",10.26072,
"OECD","CPI","TOT","AGRWTH","M","2022-09",10.54697,
"OECD","CPI","TOT","AGRWTH","M","2022-10",10.67425,
"G-20","CPI","TOT","AGRWTH","M","2018-05",2.93289,
"G-20","CPI","TOT","AGRWTH","M","2018-06",3.145741,
"G-20","CPI","TOT","AGRWTH","M","2018-07",3.502409,
"G-20","CPI","TOT","AGRWTH","M","2018-08",3.569345,
"G-20","CPI","TOT","AGRWTH","M","2018-09",3.687092,
"G-20","CPI","TOT","AGRWTH","M","2018-10",3.873937,
"G-20","CPI","TOT","AGRWTH","M","2018-11",3.542764,
"G-20","CPI","TOT","AGRWTH","M","2018-12",3.347132,
"G-20","CPI","TOT","AGRWTH","M","2019-01",3.262694,
"G-20","CPI","TOT","AGRWTH","M","2019-02",3.286911,
"G-20","CPI","TOT","AGRWTH","M","2019-03",3.63923,
"G-20","CPI","TOT","AGRWTH","M","2019-04",3.915874,
"G-20","CPI","TOT","AGRWTH","M","2019-05",3.850605,
"G-20","CPI","TOT","AGRWTH","M","2019-06",3.644843,
"G-20","CPI","TOT","AGRWTH","M","2019-07",3.416314,
"G-20","CPI","TOT","AGRWTH","M","2019-08",3.372272,
"G-20","CPI","TOT","AGRWTH","M","2019-09",3.253066,
"G-20","CPI","TOT","AGRWTH","M","2019-10",3.35307,
"G-20","CPI","TOT","AGRWTH","M","2019-11",3.794586,
"G-20","CPI","TOT","AGRWTH","M","2019-12",4.098454,
"G-20","CPI","TOT","AGRWTH","M","2020-01",4.146419,
"G-20","CPI","TOT","AGRWTH","M","2020-02",3.958459,
"G-20","CPI","TOT","AGRWTH","M","2020-03",3.292192,
"G-20","CPI","TOT","AGRWTH","M","2020-04",2.49961,
"G-20","CPI","TOT","AGRWTH","M","2020-05",2.174269,
"G-20","CPI","TOT","AGRWTH","M","2020-06",2.412785,
"G-20","CPI","TOT","AGRWTH","M","2020-07",2.51625,
"G-20","CPI","TOT","AGRWTH","M","2020-08",2.618832,
"G-20","CPI","TOT","AGRWTH","M","2020-09",2.485096,
"G-20","CPI","TOT","AGRWTH","M","2020-10",2.300809,
"G-20","CPI","TOT","AGRWTH","M","2020-11",2.075937,
"G-20","CPI","TOT","AGRWTH","M","2020-12",2.0856,
"G-20","CPI","TOT","AGRWTH","M","2021-01",2.237627,
"G-20","CPI","TOT","AGRWTH","M","2021-02",2.487598,
"G-20","CPI","TOT","AGRWTH","M","2021-03",3.163711,
"G-20","CPI","TOT","AGRWTH","M","2021-04",3.832168,
"G-20","CPI","TOT","AGRWTH","M","2021-05",4.356644,
"G-20","CPI","TOT","AGRWTH","M","2021-06",4.464769,
"G-20","CPI","TOT","AGRWTH","M","2021-07",4.564926,
"G-20","CPI","TOT","AGRWTH","M","2021-08",4.470521,
"G-20","CPI","TOT","AGRWTH","M","2021-09",4.614241,
"G-20","CPI","TOT","AGRWTH","M","2021-10",5.224842,
"G-20","CPI","TOT","AGRWTH","M","2021-11",5.85168,
"G-20","CPI","TOT","AGRWTH","M","2021-12",6.145003,
"G-20","CPI","TOT","AGRWTH","M","2022-01",6.486118,
"G-20","CPI","TOT","AGRWTH","M","2022-02",6.801719,
"G-20","CPI","TOT","AGRWTH","M","2022-03",7.900509,
"G-20","CPI","TOT","AGRWTH","M","2022-04",8.518237,
"G-20","CPI","TOT","AGRWTH","M","2022-05",8.855436,
"G-20","CPI","TOT","AGRWTH","M","2022-06",9.249367,
"G-20","CPI","TOT","AGRWTH","M","2022-07",9.221274,
"G-20","CPI","TOT","AGRWTH","M","2022-08",9.205374,
"G-20","CPI","TOT","AGRWTH","M","2022-09",9.524827,
